unamed,ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry
563,VLO,Valero Energy Corporation,198219,114,Joseph Gorder,22684706,Energy
1052,FOLD,"Amicus Therapeutics, Inc.",197842,50,John Crowley,9990032,Health Care
2041,KRC,Kilroy Realty Corporation,197820,66,John Kilroy Jr.,13132136,Real Estate
532,NOG,"Northern Oil and Gas, Inc.",197638,13,Nicholas O'Grady,2618648,Energy
511,HES,Hess Corporation,197547,63,John Hess,12408198,Energy
487,CPE,Callon Petroleum Company,197118,29,Joseph Gatto,5709479,Energy
1616,BOX,"Box, Inc.",196300,1,Aaron Levie,292514,Information Technology
1836,VRNS,"Varonis Systems, Inc.",196224,53,Yakov Faitelson,10372443,Information Technology
1012,CLDX,"Celldex Therapeutics, Inc.",195006,31,Anthony Marucci,6045894,Health Care
79,TTD,"The Trade Desk, Inc.",194939,4283,Jeff Green,834959367,Communication Services
1687,GWRE,"Guidewire Software, Inc.",193624,52,Michael Rosenbaum,10084978,Information Technology
1130,NKTR,Nektar Therapeutics,193581,58,Howard Robin,11153616,Health Care
859,RNR,RenaissanceRe Holdings Ltd.,192250,46,Kevin O'Donnell,8868902,Financials
1004,CARA,"CARA Therapeutics, Inc.",192240,52,Christopher Posner,9901376,Health Care
1990,CHCT,Community Healthcare Trust Incorporated,191172,25,Timothy Wallace,4788861,Real Estate
1590,ANET,"Arista Networks, Inc.",190816,84,Jayshree Ullal,15993632,Information Technology
1359,GNK,Genco Shipping & Trading Limited,190700,14,John Wobensmith,2619379,Industrials
1732,MSFT,Microsoft Corporation,190302,289,Satya Nadella,54946310,Information Technology
1648,DDOG,"Datadog, Inc.",190126,45,Olivier Pomel,8632636,Information Technology
1232,YMAB,"Y-mAbs Therapeutics, Inc.",189325,17,Claus Moeller San Pedro,3288583,Health Care
571,XOM,Exxon Mobil Corporation,189082,125,Darren Woods,23572488,Energy
1216,UTHR,United Therapeutics Corporation,189023,19,Martine Rothblatt,3511071,Health Care
554,SM,SM Energy Company,188989,23,Herbert Vogel,4295321,Energy
1181,SAVA,"Cassava Sciences, Inc.",188700,9,Remi Barbier,1741120,Health Care
1852,ZS,"Zscaler, Inc.",188657,220,Jay Chaudhry,41530160,Information Technology
835,PIPR,Piper Sandler Cos.,188599,48,Chad Abraham,9138214,Financials
1851,ZM,"Zoom Video Communications, Inc.",188261,6,Eric Yuan,1115089,Information Technology
1034,DVAX,Dynavax Technologies Corporation,188019,24,Ryan Spencer,4519489,Health Care
761,IVZ,Invesco Ltd.,187854,69,Martin Flanagan,12897752,Financials
1676,FIVN,"Five9, Inc.",186883,58,Rowan Trollope,10825689,Information Technology
501,EOG,"EOG Resources, Inc.",185838,52,Ezra Yacob,9752887,Energy
1187,SILK,"Silk Road Medical, Inc.",185167,18,Erica Rogers,3315913,Health Care
1205,TGTX,"TG Therapeutics, Inc.",184242,232,Michael Weiss,42666831,Health Care
2095,TRNO,Terreno Realty Corporation,183791,21,W. Baird,3840303,Real Estate
1849,YEXT,"Yext, Inc.",183568,38,Howard Lerman,6947016,Information Technology
1637,CRWD,"CrowdStrike Holdings, Inc.",183564,805,George Kurtz,147695746,Information Technology
492,CVX,Chevron Corporation,183531,123,Michael Wirth,22610285,Energy
590,AMG,"Affiliated Managers Group, Inc.",183137,49,Jay Horgen,9063156,Financials
1853,ZUO,"Zuora, Inc.",182436,41,Tien Tzuo,7424000,Information Technology
1692,HUBS,"HubSpot, Inc.",182229,46,Yamini Rangan,8447107,Information Technology
935,WETF,"WisdomTree, Inc.",181999,24,Jonathan Steinberg,4317175,Financials
1634,CRM,"Salesforce, Inc.",181612,157,Marc Benioff,28602112,Information Technology
1037,EDIT,"Editas Medicine, Inc.",181354,37,James Mullen,6714511,Health Care
1077,INO,"Inovio Pharmaceuticals, Inc.",180313,35,J. Kim,6223600,Health Care
1832,VLDR,"Velodyne Lidar, Inc.",180282,8,Theodore Tewksbury III,1504384,Information Technology
498,DVN,Devon Energy Corporation,179900,66,Richard Muncrief,11914547,Energy
2032,IIPR,"Innovative Industrial Properties, Inc.",179765,39,Paul Smithers,6969088,Real Estate
486,COP,ConocoPhillips,179428,133,Ryan Lance,23886640,Energy
1800,SMAR,"Smartsheet, Inc.",179211,87,Mark Mader,15632439,Information Technology
1015,COLL,"Collegium Pharmaceutical, Inc.",178969,41,Joseph Ciaffoni,7314335,Health Care
1598,ATEN,"A10 Networks, Inc.",178144,18,Dhrupad Trivedi,3135250,Information Technology
2064,PEAK,"Healthpeak Properties, Inc.",177521,66,Thomas Herzog,11713883,Real Estate
1134,NTRA,"Natera, Inc.",176384,132,Steven Chapman,23343147,Health Care
1175,RGNX,"REGENXBIO, Inc.",176342,49,Kenneth Mills,8622940,Health Care
1979,ARE,"Alexandria Real Estate Equities, Inc.",176113,47,Stephen Richardson,8320228,Real Estate
1816,TENB,"Tenable Holdings, Inc.",176067,48,Amit Yoran,8480631,Information Technology
2133,EIX,Edison International,175717,82,Pedro Pizarro,14364340,Utilities
997,BMRN,BioMarin Pharmaceutical Inc.,175523,104,Jean-Jacques Bienaime,18255438,Health Care
556,TALO,"Talos Energy, Inc.",175392,42,Timothy Duncan,7327188,Energy
1738,MXL,"MaxLinear, Inc.",175378,35,Kishore Seendripu,6212011,Information Technology
472,APA,APA Corp.,174903,86,John Christmann,15040707,Energy
1636,CRUS,"Cirrus Logic, Inc.",174893,38,John Forsyth,6624467,Information Technology
986,AXGN,"AxoGen, Inc.",174840,31,Karen Zaderej,5360575,Health Care
1210,TWST,Twist Bioscience Corporation,174809,7,Emily Leproust,1281593,Health Care
1051,FGEN,"FibroGen, Inc.",174414,60,Enrique Conterno,10385103,Health Care
1195,SWAV,"Shockwave Medical, Inc.",174053,42,Douglas Godshall,7317042,Health Care
807,NMIH,"NMI Holdings, Inc.",173991,29,Claudia Merkle,4970949,Financials
1612,BL,"BlackLine, Inc.",173708,35,Marc Huffman,6046686,Information Technology
2051,MPW,"Medical Properties Trust, Inc.",173092,98,Edward Aldag Jr.,17036629,Real Estate
2077,ROIC,Retail Opportunity Investments Corp.,172475,37,Stuart Tanz,6306609,Real Estate
322,SONO,"Sonos, Inc.",172126,32,Patrick Spence,5482555,Consumer Discretionary
1751,NTNX,"Nutanix, Inc.",171281,75,Rajiv Ramaswami,12928676,Information Technology
538,OVV,"Ovintiv, Inc.",171140,50,Brendan McCracken,8630387,Energy
1610,BILL,"Bill.com Holdings, Inc.",170915,81,Rene Lacerte,13929027,Information Technology
527,MUR,Murphy Oil Corporation,170735,67,Roger Jenkins,11381012,Energy
1184,SGMO,"Sangamo Therapeutics, Inc.",170218,28,Alexander Macrae,4735817,Health Care
978,ARWR,"Arrowhead Pharmaceuticals, Inc.",168720,146,Christopher Anzalone,24703855,Health Care
448,SMPL,The Simply Good Foods Co.,168195,25,Joseph Scalzo,4270253,Consumer Staples
2108,WRE,Elme Communities,167980,26,Paul McDermott,4416256,Real Estate
954,ADPT,Adaptive Biotechnologies Corp.,167834,52,Chad Robins,8751617,Health Care
1731,MRVL,"Marvell Technology, Inc.",167829,92,Matthew Murphy,15510223,Information Technology
1423,LYFT,"Lyft, Inc.",167683,83,Logan Green,13909482,Industrials
568,WMB,"The Williams Companies, Inc.",167343,82,Alan Armstrong,13759533,Energy
1822,TWLO,"Twilio, Inc.",166789,88,Jeff Lawson,14625745,Information Technology
546,PXD,Pioneer Natural Resources Company,166480,96,Scott Sheffield,16002825,Energy
733,GS,"The Goldman Sachs Group, Inc.",165828,238,David Solomon,39545072,Financials
1572,ADBE,"Adobe, Inc.",165733,218,Shantanu Narayen,36128725,Information Technology
643,CBOE,"Cboe Global Markets, Inc.",165355,64,Edward Tilly,10646558,Financials
550,RRC,Range Resources Corporation,165000,46,Jeffrey Ventura,7542954,Energy
2002,DEA,"Easterly Government Properties, Inc.",164691,30,William Trimble III,4988474,Real Estate
620,BLK,"BlackRock, Inc.",164492,198,Laurence Fink,32587335,Financials
1140,NVTA,Invitae Corp.,164339,54,Sean George,8828254,Health Care
1596,APPS,"Digital Turbine, Inc.",164128,47,William Stone,7748317,Information Technology
78,TRUE,"TrueCar, Inc.",163598,22,Michael Darrow,3608731,Communication Services
993,BIIB,Biogen Inc.,163551,108,Michel Vounatsos,17689665,Health Care
1787,RNG,"RingCentral, Inc.",163350,118,Vladimir Shmunis,19221811,Information Technology
522,MGY,Magnolia Oil & Gas Corp.,162983,2,Stephen Chazen,349162,Energy
1056,GKOS,Glaukos Corporation,162787,45,Thomas Burns,7260144,Health Care
28,FWONA,Liberty Media Corp.,162742,133,Gregory Maffei,21575769,Communication Services
2107,WPC,W. P. Carey Inc.,162508,62,Jason Fox,10103384,Real Estate
2120,AVA,Avista Corporation,162376,28,Dennis Vermillion,4577539,Utilities
722,FRC,First Republic Bank,162300,145,Hafize Erkan,23458948,Financials
789,MKTX,MarketAxess Holdings Inc.,162120,35,Richard McVey,5742184,Financials
543,PSX,Phillips 66,161584,130,Greg Garland,20953206,Energy
1061,HCAT,"Health Catalyst, Inc.",161573,37,Daniel Burton,5961043,Health Care
541,PBF,"PBF Energy, Inc.",161438,45,Thomas Nimbley,7294215,Energy
1991,CIO,"City Office REIT, Inc.",161378,22,James Farrar,3494683,Real Estate
763,JHG,Janus Henderson Group Plc,161199,58,Richard Weil,9418186,Financials
2065,PEB,Pebblebrook Hotel Trust,161089,70,Jon Bortz,11273094,Real Estate
1218,VCEL,Vericel Corporation,160777,82,Dominick Colangelo,13183295,Health Care
2137,EXC,Exelon Corporation,160633,98,Christopher Crane,15757378,Utilities
485,CNX,CNX Resources Corporation,160365,53,Nicholas DeIuliis,8572755,Energy
523,MNRL,"MNRL Sub, Inc.",158902,33,Robert Roosa,5193799,Energy
1809,SWI,SolarWinds Corp.,158889,148,Sudhakar Ramakrishna,23576716,Information Technology
1633,COUP,"Coupa Software, Inc.",157588,114,Robert Bernshteyn,17928137,Information Technology
1619,CALX,"Calix, Inc.",157079,49,Carl Russo,7726910,Information Technology
1138,NVRO,Nevro Corp.,157032,47,D. Grossman,7402510,Health Care
539,OXY,Occidental Petroleum Corporation,157013,70,Vicki Hollub,11068539,Energy
2022,FSP,Franklin Street Properties Corp.,156130,5,George Carter,806000,Real Estate
196,GPRO,"GoPro, Inc.",155947,33,Nicholas Woodman,5110365,Consumer Discretionary
526,MTDR,Matador Resources Company,155887,58,Joseph Foran,9057189,Energy
31,GOGO,Gogo Inc.,155005,22,Oakleigh Thorne,3345530,Communication Services
1786,RMBS,Rambus Inc.,154965,37,Luc Seraphin,5761497,Information Technology
1978,APLE,"Apple Hospitality REIT, Inc.",154780,39,Justin Knight,6092030,Real Estate
551,SBOW,"SilverBow Resources, Inc.",154333,22,Sean Woolverton,3353545,Energy
2075,RLJ,RLJ Lodging Trust,153744,106,Leslie Hale,16300593,Real Estate
658,CME,CME Group Inc.,153565,149,Terrence Duffy,22924737,Financials
493,DEN,Denbury Inc.,153334,15,Christian Kendall,2325510,Energy
2047,LXP,LXP Industrial Trust,153100,52,T. Eglin,7994185,Real Estate
580,AGM,Federal Agricultural Mortgage Corp.,153000,21,Bradford Nordholm,3211156,Financials
483,CIVI,"Civitas Resources, Inc.",152768,19,Eric Greager,2938020,Energy
1829,V,Visa Inc.,152395,184,Alfred Kelly Jr.,28103602,Information Technology
1302,CRAI,"CRA International, Inc.",152157,26,Paul Maleh,4013392,Industrials
1220,VEEV,"Veeva Systems, Inc.",151858,2,Peter Gassner,350000,Health Care
40,IRDM,Iridium Communications Inc.,151506,36,Matthew Desch,5402931,Communication Services
851,RE,"Everest Re Group, Ltd.",151276,59,Juan Andrade,8866126,Financials
